,ID,iteration
84,AR4Zl0rrgiQdw2V8shyPFNWNoIQ2,iteration_04
153,YeyRZ4NR7sOxUm3rrujk2JZ3hA93,iteration_07
149,nnxrWdIlzOS4hvtQ8g59Vym9Dtx1,iteration_07
78,9tpUHjP0kyRNyRPYPFyi7qzFA6t2,iteration_04
71,TP2aDdh6mNc0GsacncPVHRxaNaH3,iteration_03
10,01jHqnBeSZSZjgs79OBfmIW09cH2,iteration_01
88,tkCDQzVWYOMXx7vLupNPBrfVSMJ2,iteration_04
0,davtG3xxkqO6C8vK9uEhA6oZyk12,iteration_01
15,7iXvwszLc0ZeszvHh1M9r0fWfiK2,iteration_01
19,801zUkH1McS5cZZQu7HYz7v127d2,iteration_01
76,y6Tl1QrOIHfaoEzQ2oinMWFfZXP2,iteration_04
92,7Y1WR7f4s8QCERp2dQKB8cXopLq1,iteration_04
41,ww293bnvqsZaHKAWUttXp9gwjjp2,iteration_02
125,YENLTLbLANYpTBmrpfFDfGnzk962,iteration_06
36,OcqFlvx3A9YcCWkwROaBySU95HI2,iteration_02
82,t1JCYfhMDKRR9gMPlzYsf0quQfB3,iteration_04
131,hSGCkrVcUVWbDltHVUCyWvwszG53,iteration_06
134,bubBqAKyYTaguDBGFdUOVA6MhWn2,iteration_06
81,esXo4bAtdtMgDsiIS0zYbJC25p72,iteration_04
110,PQ1ebCaFwRQUi2J96jWGLG2NFr63,iteration_05
136,7goyqYxVhYefV1YMHaWSCJkGhop1,iteration_06
24,wCKBJ8SQqvTriG6EITuOj0H1goR2,iteration_02
59,ddUEMt9WEcWY7HdHYGj3tRLuCIn1,iteration_03
47,cflkFfx0Lcemh1ioJmgv8nMnQLr2,iteration_02
103,aOZYrxX1p1SPip8ow0YtEM3qHGk1,iteration_05
23,yPxyh96xjGflGsDmShrpBXckBks1,iteration_01
75,Y95gnpCLAgPZ8NeNh6LdqzVfaLo1,iteration_04
89,MxjDmk5peBXm2LKnhA1M51FsQMl2,iteration_04
157,UjLSkmRg7VafpElMa3GYvHqgsJt2,iteration_07
101,7QJLkRrXhwcTP3dllVdpZi4IWR12,iteration_05
20,WfmfqzH5Osc21zu8ad4copEoPQt2,iteration_01
4,t0Fquw0BRiRMc9SJurxQ198acj93,iteration_01
45,mHkZ5MkzUKUzSdEGcYOscl95NRt1,iteration_02
135,xf1zW4T5iSVE6d5KmUtw6z4RDGv2,iteration_06
51,Rw6az4bkHKg9cXY6pMIOtdLpSb33,iteration_03
140,w7VajNOGJFNMCKUX3dHIKlRYj982,iteration_06
2,GnG62bs0maeT2nq8kE6XcW9yJRs2,iteration_01
165,4HSwYu9ERPWyK5tvVbEPwVpMLKn1,iteration_07
105,kEmZ7kXi8YPGbMNRy0xML2ie1rv2,iteration_05
27,XOBivY68UGT1LQRj50vTgmcMWL23,iteration_02
39,QjwJcn2WrHV1mBhUGcWXDF5PCPj1,iteration_02
28,7KVglwHk6wOVmT4MQrvk3A1Caq53,iteration_02
30,6RHmQ1DhU2Q3AK90vtJK7lXJrAo2,iteration_02
25,MjPfqWMBX3b5cSpKp3OQXyWHk1G2,iteration_02
73,zTnM3hGJLLMxk06bZaKpivnDQN63,iteration_03
162,2uzpRflu7TYbhUJRVJHFbJYbJAF2,iteration_07
22,C7dN86OUhXeL4YKobiazPJGVMiQ2,iteration_01
77,ByM2ihf7KiQoC02uoZlkIGoNojw2,iteration_04
129,XPdODMBWjjgH0WFDjsRYPVRPo9R2,iteration_06
104,aRCAihgdPEQYzpgQWM488JcFeZx2,iteration_05
116,hSO8l1GFCoSe8NWBusiBkjzVrgp2,iteration_05
26,qAaU22i5t2fAttjw4odyWsCEOjP2,iteration_02
34,REjmRuvpTkWR2bv82Io2LG4gwA03,iteration_02
31,PlTRlsrGdIcgq6gy0NY76rVgxeI3,iteration_02
79,9OC6vfauX1bCwLiWGL1j9ImBZQy1,iteration_04
44,OaHrtbCWYxOAVIqFl0c7T1VWZjo1,iteration_02
80,TCEQzKl2qvUZAAVdbkuEqm49FpW2,iteration_04
111,iC0nljrYxKgN45gktvDpQxTAJw32,iteration_05
90,h4RN1f2pd4dwqxlqrtz7OP2Tgvm2,iteration_04
42,VWiWdpmQOYYuOrPe2kLhIxgGKR92,iteration_02
98,OYi1hLw51DafHXN93H4G4ySBJ622,iteration_05
50,z0DBZkdrTcSmU1MOGXHrIf59gYh2,iteration_03
56,unrr21ZT7dbneHvYVTMXS0xCJQW2,iteration_03
3,8w78a4X34RPmPpxxL0vncyDPXvt2,iteration_01
100,m1TwAOaR1ibKu2Zy6O9xB845HuK2,iteration_05
72,LHKg8hxjyAUN1wEncotbXWCu0aT2,iteration_03
96,sEEZ0fN2hVcDWjR1o5a68hA6wXK2,iteration_05
11,Fjnjwo9mLvYbbduDonQ1HLSDvEs2,iteration_01
124,ngFsN3n5iGZlP329FniM2Mi02Gh1,iteration_06
108,ni15qAL6jKbjmg7EfmURuzml9mp1,iteration_05
67,bOt6VeKouzUhaM8BlW97Y1tVUyE3,iteration_03
13,hmzmC4xIzlR3HDUgFmtl2i39QDx2,iteration_01
65,ehbAaiTNQZRKTuCLCdCYZfoTqnb2,iteration_03
57,1WXmlPK6mfVkqYXlsNJvxKkw37C3,iteration_03
52,SGuxqxVFu6PRdrhfSYYJwf6UIOq2,iteration_03
109,QxsTCw8t2VdlluDACws52AlPIDF3,iteration_05
130,c8JLEsCUlNRTQ7KLHq2htrMRIYw2,iteration_06
38,pkK8HrLTJheLUDKvvFx4sKZiYdB2,iteration_02
49,VfEPOs0sjXhd6Lb7Jjb9oaXzIb72,iteration_03
54,ijiZnSsZ38VzAMdwSeqEvRSP9Mn2,iteration_03
21,iNw4th3tQSZLdGtF1DzMjxn3TV82,iteration_01
33,eI8pxXsJo0P4li6uxkornKaGliz2,iteration_02
62,y5b0YF3SIjSvauNKHssePQ6upZ32,iteration_03
87,L1pIFYf6CCMFRA7qLgUAno0qhp03,iteration_04
7,y9W2PgwUvmbhU1c1fNNzTuukNlu2,iteration_01
55,S4nt4QdLb5ZowCrttES2GS1V2W93,iteration_03
58,0u5OZfaGM5MTuqePyEIm3s4qIBg2,iteration_03
91,FjAOqvFmWUdm2tDfk7PUXPf33CH3,iteration_04
48,yLMtxaV799N9rVWUyYnOWqk0oj43,iteration_03
17,0Uvl9keeDVbkh69satbc6wTSbe23,iteration_01
5,c6CPShm7qaeixkyFiQun8UU9PnX2,iteration_01
46,PsIFnyVpOuZFP6Qrk7QQVwuJoqy1,iteration_02
43,4IBe0IfsPHbbFhL4zvTkU2vSsCG2,iteration_02
